2026-09-05 09:59:32,732 | INFO | storage.db | Initialising database...
2026-09-05 09:59:32,733 | INFO | storage.db | Creating initial tables...
2026-09-05 10:19:17,594 | INFO | storage.database | Initialising database...
2026-09-05 10:19:17,597 | INFO | storage.database | Database does not exist. Creating initial tables...
2026-09-05 10:19:17,622 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:20:16,015 | INFO | storage.database | Initialising database...
2026-09-05 10:20:16,017 | INFO | storage.database | Database does not exist. Creating initial tables...
2026-09-05 10:20:16,036 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:30:30,558 | INFO | storage.database | Initialising database...
2026-09-05 10:30:30,559 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:30:30,559 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:34:01,816 | INFO | storage.database | Initialising database...
2026-09-05 10:34:01,817 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:34:01,817 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:34:16,069 | INFO | storage.database | Initialising database...
2026-09-05 10:34:16,070 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:34:16,070 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:34:37,278 | INFO | storage.database | Initialising database...
2026-09-05 10:34:37,279 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:34:37,279 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:34:49,619 | INFO | storage.database | Initialising database...
2026-09-05 10:34:49,620 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:34:49,620 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:36:30,518 | INFO | storage.database | Initialising database...
2026-09-05 10:36:30,519 | INFO | storage.database | Database does not exist. Creating initial tables...
2026-09-05 10:36:30,540 | INFO | storage.database | Database initialisation complete.
2026-09-05 10:36:44,413 | INFO | storage.database | Initialising database...
2026-09-05 10:36:44,414 | INFO | storage.database | Database exists. Skipping initial table creation.
2026-09-05 10:36:44,414 | INFO | storage.database | Database initialisation complete.
