2026-09-05 08:21:11,686 | INFO | __main__ | Authenticating user...
2026-09-05 08:21:11,686 | INFO | __main__ | No valid credentials found. Starting OAuth flow...
2026-09-05 08:21:58,216 | INFO | __main__ | Authenticating user...
2026-09-05 08:21:58,216 | INFO | __main__ | No valid credentials found. Starting OAuth flow...
2026-09-05 08:24:18,132 | INFO | __main__ | Authenticating user...
2026-09-05 08:24:18,132 | INFO | __main__ | No valid credentials found. Starting OAuth flow...
2026-09-05 08:24:34,077 | INFO | __main__ | Saving credentials...
2026-09-05 08:24:34,078 | INFO | __main__ | Authentication successful. Building Gmail service...
2026-09-05 08:24:34,083 | INFO | __main__ | Fetching message IDs...
2026-09-05 08:25:47,563 | INFO | __main__ | Authenticating user...
2026-09-05 08:25:47,563 | INFO | __main__ | Token file found. Loading credentials...
2026-09-05 08:25:47,569 | INFO | __main__ | Authentication successful. Building Gmail service...
2026-09-05 08:25:47,572 | INFO | __main__ | Fetching message IDs...
2026-09-05 08:27:36,514 | INFO | __main__ | Authenticating user...
2026-09-05 08:27:36,514 | INFO | __main__ | Token file found. Loading credentials...
2026-09-05 08:27:36,518 | INFO | __main__ | Authentication successful. Building Gmail service...
2026-09-05 08:27:36,520 | INFO | __main__ | Fetching message IDs...
2026-09-05 08:27:37,656 | INFO | __main__ | Fetched page 1: 500 messages (total: 500)
2026-09-05 08:27:38,091 | INFO | __main__ | Fetched page 2: 500 messages (total: 1000)
2026-09-05 08:27:38,520 | INFO | __main__ | Fetched page 3: 500 messages (total: 1500)
2026-09-05 08:27:39,662 | INFO | __main__ | Fetched page 4: 500 messages (total: 2000)
2026-09-05 08:27:40,085 | INFO | __main__ | Fetched page 5: 500 messages (total: 2500)
2026-09-05 08:27:40,493 | INFO | __main__ | Fetched page 6: 500 messages (total: 3000)
2026-09-05 08:27:40,908 | INFO | __main__ | Fetched page 7: 500 messages (total: 3500)
2026-09-05 08:27:41,998 | INFO | __main__ | Fetched page 8: 500 messages (total: 4000)
2026-09-05 08:27:43,069 | INFO | __main__ | Fetched page 9: 500 messages (total: 4500)
2026-09-05 08:27:43,503 | INFO | __main__ | Fetched page 10: 500 messages (total: 5000)
2026-09-05 08:27:44,632 | INFO | __main__ | Fetched page 11: 500 messages (total: 5500)
2026-09-05 08:27:45,062 | INFO | __main__ | Fetched page 12: 500 messages (total: 6000)
2026-09-05 08:27:45,466 | INFO | __main__ | Fetched page 13: 500 messages (total: 6500)
2026-09-05 08:27:45,880 | INFO | __main__ | Fetched page 14: 500 messages (total: 7000)
2026-09-05 08:27:46,322 | INFO | __main__ | Fetched page 15: 500 messages (total: 7500)
2026-09-05 08:27:46,747 | INFO | __main__ | Fetched page 16: 500 messages (total: 8000)
2026-09-05 08:27:47,180 | INFO | __main__ | Fetched page 17: 500 messages (total: 8500)
2026-09-05 08:27:47,603 | INFO | __main__ | Fetched page 18: 500 messages (total: 9000)
2026-09-05 08:27:48,042 | INFO | __main__ | Fetched page 19: 500 messages (total: 9500)
2026-09-05 08:27:48,462 | INFO | __main__ | Fetched page 20: 500 messages (total: 10000)
2026-09-05 08:27:48,930 | INFO | __main__ | Fetched page 21: 500 messages (total: 10500)
2026-09-05 08:27:49,326 | INFO | __main__ | Fetched page 22: 500 messages (total: 11000)
2026-09-05 08:27:49,716 | INFO | __main__ | Fetched page 23: 500 messages (total: 11500)
2026-09-05 08:27:50,101 | INFO | __main__ | Fetched page 24: 500 messages (total: 12000)
2026-09-05 08:27:50,483 | INFO | __main__ | Fetched page 25: 500 messages (total: 12500)
2026-09-05 08:27:50,873 | INFO | __main__ | Fetched page 26: 500 messages (total: 13000)
2026-09-05 08:27:51,248 | INFO | __main__ | Fetched page 27: 500 messages (total: 13500)
2026-09-05 08:27:51,618 | INFO | __main__ | Fetched page 28: 500 messages (total: 14000)
2026-09-05 08:27:51,979 | INFO | __main__ | Fetched page 29: 500 messages (total: 14500)
2026-09-05 08:27:52,354 | INFO | __main__ | Fetched page 30: 500 messages (total: 15000)
2026-09-05 08:27:52,728 | INFO | __main__ | Fetched page 31: 500 messages (total: 15500)
2026-09-05 08:27:53,099 | INFO | __main__ | Fetched page 32: 500 messages (total: 16000)
2026-09-05 08:27:54,140 | INFO | __main__ | Fetched page 33: 500 messages (total: 16500)
2026-09-05 08:27:54,510 | INFO | __main__ | Fetched page 34: 500 messages (total: 17000)
2026-09-05 08:27:54,878 | INFO | __main__ | Fetched page 35: 500 messages (total: 17500)
2026-09-05 08:27:55,231 | INFO | __main__ | Fetched page 36: 500 messages (total: 18000)
2026-09-05 08:27:55,596 | INFO | __main__ | Fetched page 37: 500 messages (total: 18500)
2026-09-05 08:27:55,983 | INFO | __main__ | Fetched page 38: 500 messages (total: 19000)
2026-09-05 08:27:56,357 | INFO | __main__ | Fetched page 39: 500 messages (total: 19500)
2026-09-05 08:27:56,720 | INFO | __main__ | Fetched page 40: 500 messages (total: 20000)
2026-09-05 08:27:57,758 | INFO | __main__ | Fetched page 41: 500 messages (total: 20500)
2026-09-05 08:27:58,115 | INFO | __main__ | Fetched page 42: 500 messages (total: 21000)
2026-09-05 08:27:58,493 | INFO | __main__ | Fetched page 43: 500 messages (total: 21500)
2026-09-05 08:27:58,877 | INFO | __main__ | Fetched page 44: 500 messages (total: 22000)
2026-09-05 08:27:59,267 | INFO | __main__ | Fetched page 45: 500 messages (total: 22500)
2026-09-05 08:27:59,636 | INFO | __main__ | Fetched page 46: 500 messages (total: 23000)
2026-09-05 08:28:00,040 | INFO | __main__ | Fetched page 47: 500 messages (total: 23500)
2026-09-05 08:28:00,428 | INFO | __main__ | Fetched page 48: 500 messages (total: 24000)
2026-09-05 08:28:00,818 | INFO | __main__ | Fetched page 49: 500 messages (total: 24500)
2026-09-05 08:28:01,202 | INFO | __main__ | Fetched page 50: 500 messages (total: 25000)
2026-09-05 08:28:01,577 | INFO | __main__ | Fetched page 51: 500 messages (total: 25500)
2026-09-05 08:28:01,952 | INFO | __main__ | Fetched page 52: 500 messages (total: 26000)
2026-09-05 08:28:02,313 | INFO | __main__ | Fetched page 53: 500 messages (total: 26500)
2026-09-05 08:28:02,702 | INFO | __main__ | Fetched page 54: 500 messages (total: 27000)
2026-09-05 08:28:03,092 | INFO | __main__ | Fetched page 55: 500 messages (total: 27500)
2026-09-05 08:28:03,475 | INFO | __main__ | Fetched page 56: 500 messages (total: 28000)
2026-09-05 08:28:03,832 | INFO | __main__ | Fetched page 57: 500 messages (total: 28500)
2026-09-05 08:28:04,197 | INFO | __main__ | Fetched page 58: 500 messages (total: 29000)
2026-09-05 08:28:05,238 | INFO | __main__ | Fetched page 59: 500 messages (total: 29500)
2026-09-05 08:28:05,618 | INFO | __main__ | Fetched page 60: 500 messages (total: 30000)
2026-09-05 08:28:05,996 | INFO | __main__ | Fetched page 61: 500 messages (total: 30500)
2026-09-05 08:28:06,373 | INFO | __main__ | Fetched page 62: 500 messages (total: 31000)
2026-09-05 08:28:06,747 | INFO | __main__ | Fetched page 63: 500 messages (total: 31500)
